ITEM_CODE,STAGE,PROCESS,QTY,TONNAGE,DATE,AGING
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,41.13519900463143
ABB456,WIP_DM,110,1.0,0.2947,2025-07-24 02:16:02.776987,19.88371197916422
ABB459,WIP_DM,110,1.0,0.47642,2025-07-24 02:16:02.776987,17.9233598958308
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,41.13469591435569
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,43.39522425925679
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,39.12500826388714
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,41.13305699074408
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,39.12352788194403
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,43.52022422453592
HIT012,WIP_DM,110,1.0,0.056,2025-07-24 02:16:02.776987,29.23001537036907
ABB459,WIP_DM,100,1.0,0.47642,2025-07-24 02:16:02.776987,62.36467504629399
ABB459,WIP_DM,110,1.0,0.47642,2025-07-24 02:16:02.776987,89.28559326389222
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,46.5158173263917
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,39.69939869212976
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,50.96813980324077
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,45.25116074074322
SIE469,WIP_DM,110,1.0,0.116,2025-07-24 02:16:02.776987,29.41929195601551
NAM001,WIP_DM,110,1.0,0.041,2025-07-24 02:16:02.776987,58.52660517361074
NAM001,WIP_DM,100,1.0,0.041,2025-07-24 02:16:02.776987,76.12723732639279
NAM001,WIP_DM,100,1.0,0.041,2025-07-24 02:16:02.776987,74.64016903935408
NAM001,WIP_DM,100,1.0,0.041,2025-07-24 02:16:02.776987,58.02593700231228
ABB457,WIP_DM,110,1.0,0.024,2025-07-24 02:16:02.776987,27.03956454861327
ABB477,WIP_DM,110,1.0,0.0852,2025-07-24 02:16:02.776987,40.32332188657165
ABB457,WIP_DM,110,1.0,0.024,2025-07-24 02:16:02.776987,26.46680310185184
ABB457,WIP_DM,110,1.0,0.024,2025-07-24 02:16:02.776987,26.41699181713193
ABB457,WIP_DM,110,1.0,0.024,2025-07-24 02:16:02.776987,25.47124118055217
ARE330,WIP_DM,110,1.0,0.0431,2025-07-24 02:16:02.776987,47.89318789351819
